현장용어,표준용어,구분,의미,출처
메가네,링 렌치,공구,양끝이 고리형인 렌치(박스엔드·옵셋 렌치),현장(오시리)
복스,소켓 렌치,공구,볼트 머리에 끼우는 원통형 공구,현장(오시리)
복스알,소켓,공구,소켓 렌치에 끼우는 규격별 부품,현장(오시리)
짤짤이,라쳇 핸들,공구,한 방향으로만 돌아가는 라쳇 렌치,현장(오시리)
몽키,조정식 렌치,공구,입 폭을 조절하는 어저스터블 렌치,현장(오시리)
뺀치,조합 플라이어,공구,잡기·구부리기·절단용 공구,현장(오시리)
펜치,조합 플라이어,공구,잡기·구부리기·절단용 공구,현장(오시리)
쁘라이어,플라이어,공구,잡거나 구부리는 공구의 총칭,현장(오시리)
니퍼,니퍼,공구,전선 등을 절단하는 사이드 커팅 플라이어,현장(오시리)
빠루,지렛대,공구,틈을 벌리거나 들어올리는 프라이 바·크로바,현장(오시리)
다가네,정,공구,금속을 끊거나 홈을 내는 콜드 치즐,현장(오시리)
야스리,줄,공구,금속 표면을 갈아내는 파일,현장(오시리)
노기스,버니어 캘리퍼스,공구,내경·외경·깊이를 재는 측정공구,현장(오시리)
로기스,버니어 캘리퍼스,공구,내경·외경·깊이를 재는 측정공구,현장(오시리)
뻬빠,사포,공구,표면을 연마하는 연마지,현장(오시리)
페빠,사포,공구,표면을 연마하는 연마지,현장(오시리)
헤라,스크레이퍼,공구,접착제 제거·긁어내기용 주걱형 공구,현장(오시리)
임팩,임팩트 렌치,공구,충격 회전력으로 볼트·너트를 조이는 공구,현장(오시리)
미미,엔진 마운트,부품,엔진 진동을 흡수·고정하는 마운팅,자동차(Carisyou)
쇼바,쇼크 업소버,부품,충격·진동을 줄이는 완충기,자동차(Carisyou)
세루모터,스타터 모터,부품,시동 시 크랭크축을 돌리는 시동 모터,자동차(Carisyou)
제네레다,발전기,부품,전기를 생산·충전하는 얼터네이터,자동차(Carisyou)
데후,디퍼렌셜,부품,좌우 바퀴 회전차를 허용하는 차동장치,자동차(Carisyou)
마후라,머플러,부품,배기 소음을 줄이는 소음기,자동차(Carisyou)
헷드,실린더 헤드,부품,엔진 실린더 상부를 구성하는 부품,자동차(Carisyou)
헷또,실린더 헤드,부품,엔진 실린더 상부를 구성하는 부품,자동차(Carisyou)
샤후드,샤프트,부품,동력·회전을 전달하는 축,자동차(Carisyou)
후렌지,플랜지,부품,배관·축을 연결하는 돌출형 부위,자동차(Carisyou)
와샤,와셔,부품,볼트·너트 밑에 넣는 얇은 부품,자동차(Carisyou)
구리스,그리스,부품,베어링·관절부용 윤활 그리스,자동차(Carisyou)
빠데,퍼티,부품,판금·도장 전 표면을 메우는 바디 필러,자동차(Carisyou)
야마가 나갔다,나사산 손상,작업/상태,볼트·너트 나사산이 뭉개진 상태,정비사 VOC
야마,나사산 손상,작업/상태,볼트·너트 나사산이 뭉개진 상태,정비사 VOC
나사산이 죽었다,나사산 마모·파손,작업/상태,체결이 제대로 되지 않는 상태,정비사 VOC
빠가났다,파손됨,작업/상태,부품·나사산이 망가져 헛도는 상태,정비사 VOC
기스,흠집·스크래치,작업/상태,표면에 긁힘이 생긴 상태,정비사 VOC
토크 먹인다,규정 토크로 체결,작업/상태,토크 렌치로 정해진 힘을 가함,정비사 VOC
조시 본다,조정·작동 확인,작업/상태,간극·장력·회전 상태를 맞춤,정비사 VOC
단도리한다,작업 준비·고정,작업/상태,공구·부품 준비 또는 안전 확보,정비사 VOC
시마이한다,작업 마무리,작업/상태,정리·조립 완료·작업 종료,정비사 VOC
나라시한다,길들이기·초기 운전,작업/상태,수리 후 일정 시간 시험 운전,정비사 VOC
후끼한다,분사 도장,작업/상태,스프레이건으로 페인트를 뿌림,정비사 VOC
까본다,분해·개방 점검,작업/상태,커버·장치를 열어 내부를 확인,정비사 VOC
내린다,장치 탈거,작업/상태,엔진·미션 등 큰 부품을 제거,정비사 VOC
올린다,장치 장착,작업/상태,탈거한 부품을 다시 설치,정비사 VOC
털어낸다,분해 정비·전면 교체,작업/상태,내부 부품을 대대적으로 분해,정비사 VOC
살린다,수리 후 재사용,작업/상태,교체 없이 복원·재가공,정비사 VOC
죽었다,작동 불능,작업/상태,모터·센서·회로가 동작하지 않음,정비사 VOC
앗세이,조립체,기술용어,여러 부품이 결합된 Assembly,현장
ASSY,조립체,기술용어,여러 부품이 결합된 Assembly,현장
오버홀,오버홀,기술용어,완전 분해 후 점검·수리·재조립,현장
부싱,부싱,기술용어,결합부 마찰·진동을 줄이는 부품,현장
베어링,베어링,기술용어,회전축을 지지하고 마찰을 줄이는 부품,현장
패스너,패스너,기술용어,볼트·너트·리벳 등 체결부품 총칭,현장
탈거,탈거,기술용어,장착된 부품을 떼어냄,현장
취부,취부,기술용어,부품을 정해진 위치에 장착·고정,현장
